Symbol,Date,Signal,Confidence,Type,Condition,ATRpct,SizePct,Pattern detected,Breakout
CPNG,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,3.49,2.5,Inverse Head and Shoulders,No
LDOS,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,2.45,2.5,Double Bottom,No
ARM,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,4.48,2.5,-,No
GRBK,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,2.73,2.5,-,No
SIRI,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,2.71,2.5,-,No
IRDM,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,4.53,2.5,Ascending Triangle,No
T,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,1.78,2.5,Double Bottom,No
VTEX,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,2.97,2.5,-,No
IYR,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,1.05,2.5,Triple Bottom,No
PANW,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,2.37,2.5,-,No
KR,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,2.57,2.5,Triple Bottom,No
WAY,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,4.1,2.5,-,No
RDNT,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,4.98,2.5,-,No
MRCY,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,3.84,2.5,-,No
TRIP,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,3.54,2.5,-,No
SYK,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,1.89,2.5,-,No
APPN,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,4.64,2.5,Inverse Head and Shoulders,No
PAY,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,4.26,2.5,-,No
ESPO,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,0.84,2.5,Triple Bottom,No
CRC,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,3.18,2.5,Double Bottom,No
CDNS,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,2.74,2.5,Double Bottom,No
