Symbol,Date,Signal,Confidence,Type,Condition,ATRpct,SizePct,Pattern detected,Breakout
NKE,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,Double Bottom,Yes
PL,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Cup and Handle,No
GPN,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,Yes
JAKK,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Triple Bottom,Yes
AMZN,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Triple Bottom,No
TIGO,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
AME,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Triple Bottom,No
HIG,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
CBL,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Ascending Triangle,No
RVMD,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
BBY,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,Yes
JMIA,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Triple Bottom,No
PSTG,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,,No
IBEX,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
AMGN,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
PAG,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,No
RRBI,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Ascending Triangle,No
HRTG,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
INDA,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Triple Bottom,No
CASH,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Triple Bottom,No
CSGS,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Triple Bottom,No
LIND,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
PDD,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,Yes
NEM,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
KAR,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
PICK,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
NTCT,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
FTDR,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Double Bottom,No
NOVT,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Ascending Triangle,Yes
C,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
CRNC,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
GFI,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
EDU,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Cup and Handle,No
BK,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
HII,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Cup and Handle,No
ESTC,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,Yes
EBAY,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Triple Bottom,No
SCSC,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Double Bottom,No
VB,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Triple Bottom,No
LITE,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
FTXL,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
ARQQ,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,Double Bottom,Yes
CL,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Inverse Head and Shoulders,Yes
SDHC,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,No
WEYS,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Ascending Triangle,No
FET,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
HLT,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Inverse Head and Shoulders,No
DRS,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Double Bottom,No
LEN,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,,Yes
Z,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,No
NDSN,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Triple Bottom,Yes
PRLB,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
ENS,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
ESLT,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Ascending Triangle,No
WDAY,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Double Bottom,Yes
CSCO,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Triple Bottom,No
ANIK,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,Triple Bottom,Yes
TPH,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,No
IMMR,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,Yes
TEM,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,Yes
OSBC,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
STNE,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Triple Bottom,No
EXPI,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Inverse Head and Shoulders,Yes
LKQ,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Double Bottom,Yes
SE,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,,No
RAMP,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Triple Bottom,No
ACIW,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Double Bottom,Yes
ATEN,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Cup and Handle,No
TAL,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Triple Bottom,No
ADMA,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Ascending Triangle,No
PLTR,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Cup and Handle,No
REPX,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,Double Bottom,Yes
LUV,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
AIZ,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Inverse Head and Shoulders,No
BB,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,No
MYE,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Ascending Triangle,Yes
GXO,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Ascending Triangle,No
H,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
EXLS,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Double Bottom,No
OUST,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,No
UVE,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Cup and Handle,No
SHOP,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
CVCO,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
DVAX,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Triple Bottom,Yes
CVV,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Double Bottom,No
OVV,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,,Yes
VLRS,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
OFG,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Ascending Triangle,No
DLR,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,,Yes
HSTM,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,,Yes
CCBG,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
DXCM,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Triple Bottom,Yes
EVTC,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Triple Bottom,Yes
GRC,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
VST,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,No
MA,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Cup and Handle,No
TER,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Cup and Handle,No
REMX,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
CRWD,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Double Bottom,No
UAL,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
SNOW,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,No
ULCC,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,No
MISL,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Cup and Handle,No
SXC,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Cup and Handle,Yes
ACEL,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Double Bottom,No
AMPL,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,No
JOYY,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
RBKB,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Ascending Triangle,No
BZH,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,Yes
FG,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Double Bottom,Yes
AFRM,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Triple Bottom,No
RDVT,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Triple Bottom,No
GS,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
DMAT,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Triple Bottom,No
GDX,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
SIGI,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,Yes
BY,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
FOUR,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,,Yes
DAL,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Ascending Triangle,No
GDXJ,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
ASTE,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
QUBT,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,,No
CCS,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,Yes
CRM,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Double Bottom,Yes
DASH,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,Yes
SSNC,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Triple Bottom,No
BYD,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
NVGS,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
CPNG,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,Inverse Head and Shoulders,Yes
QNCCF,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Cup and Handle,No
CNC,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Double Bottom,Yes
BPOP,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Triple Bottom,No
NNI,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
III,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
ASA,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
IDT,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Double Bottom,No
KGC,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
TMHC,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,No
SPIR,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,,Yes
ARM,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,,Yes
GRBK,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,No
NNOX,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,,Yes
SIRI,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,Yes
FRSH,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,No
OBDC,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,Yes
HAS,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
COIN,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,,Yes
IRDM,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,Ascending Triangle,Yes
GRMN,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Cup and Handle,No
NXST,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Cup and Handle,No
PSN,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,,No
T,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Double Bottom,No
TBPH,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Inverse Head and Shoulders,No
VTEX,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,,Yes
TOL,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
NAIL,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,,Yes
GENC,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Double Bottom,Yes
CRPT,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,,Yes
WCC,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
IYR,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Triple Bottom,No
PEGA,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Cup and Handle,No
TDC,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,Yes
SLV,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Ascending Triangle,No
QTUM,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Cup and Handle,No
BDC,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,Yes
GE,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
KR,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,Triple Bottom,No
PEBK,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
DCI,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
XMTR,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Ascending Triangle,No
LAUR,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
NU,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
TNC,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,Yes
WIT,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,Yes
DOMO,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,,No
ARKQ,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Cup and Handle,No
WAY,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,,Yes
ASTS,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Cup and Handle,No
CRS,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
TRIP,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,No
SWX,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Triple Bottom,No
ALK,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Cup and Handle,No
SYK,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,Yes
ELMD,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
PRDO,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Double Bottom,No
BKNG,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Ascending Triangle,No
RKLB,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Cup and Handle,No
OVLY,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
PAY,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,,Yes
HOV,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,,No
ESPO,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Triple Bottom,No
INFY,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Triple Bottom,Yes
M,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
GLD,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
META,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,No
ISRG,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
WSBF,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
CRC,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,Double Bottom,Yes
DLX,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Cup and Handle,No
TTMI,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
USCB,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
CDNS,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Double Bottom,No
MDT,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
RBCAA,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
ORCL,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,,No
GRAB,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Double Bottom,Yes
SATS,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Ascending Triangle,No
NATH,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Double Bottom,No
ALRM,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Triple Bottom,Yes
ALGN,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,Yes
BCO,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
WAB,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Triple Bottom,No
MO,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Triple Bottom,No
GCBC,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Ascending Triangle,No
PEB,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Double Bottom,No
FSLR,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Triple Bottom,No
STCE,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Double Bottom,No
MASI,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Double Bottom,Yes
IJT,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Triple Bottom,No
IPGP,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,No
ASGN,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Double Bottom,Yes
SERV,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,Yes
CCK,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Cup and Handle,No
JBL,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Cup and Handle,No
AVAH,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
AXP,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Cup and Handle,No
ZM,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
SNA,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Cup and Handle,No
HCAT,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,Double Bottom,No
INNV,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
NSANY,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,No
NFLX,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,,No
GWRE,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,,No
SSO,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
BA,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Ascending Triangle,No
ICE,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Double Bottom,No
VNDA,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
RIGL,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
SETM,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Triple Bottom,No
XOVR,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Triple Bottom,No
S,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,,Yes
IAS,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Triple Bottom,No
GM,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Ascending Triangle,No
NOC,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Double Bottom,No
AORT,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
AVAV,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,No
LOPE,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,No
VNT,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,Yes
GEN,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,No
MD,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
XME,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
HPQ,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,Double Bottom,Yes
NHC,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
HPE,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Cup and Handle,No
BSWGF,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,,No
EXPE,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
LGND,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
KBR,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,Double Bottom,Yes
TSLA,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
GD,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Triple Bottom,No
LMAT,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Triple Bottom,No
GTX,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Triple Bottom,No
LUNR,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Cup and Handle,No
CGNX,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Double Bottom,Yes
HERO,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Triple Bottom,No
VBK,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
FBP,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
TME,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Triple Bottom,No
NDAQ,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
FUNC,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
DUK,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Triple Bottom,No
USAR,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Double Bottom,No
CFLT,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Cup and Handle,No
GLBE,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
ALGT,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
STT,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Cup and Handle,No
PBYI,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
DES,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,No
FLYW,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
SUPN,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
OKLO,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,No
ROKU,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Inverse Head and Shoulders,No
V,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Double Bottom,No
OMCL,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
GOOG,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
KWEB,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Double Bottom,No
NGVT,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
TSBK,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
RBLX,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,Double Bottom,No
WRLD,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,,Yes
CHKP,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Triple Bottom,No
BITW,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,,Yes
UTHR,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
THFF,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Ascending Triangle,No
AAL,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
BMY,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,Yes
MU,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
IRMD,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,,No
PLUG,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Double Bottom,No
ZBRA,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,,Yes
AI,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,,Yes
MOMO,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,,No
GRRR,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,,Yes
AUPH,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,Double Bottom,No
SONY,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Double Bottom,Yes
VEEV,2025-12-19,Stage: Mark-Down,85.0,WATCH,STAGE,,,,Yes
